block,occupancy_idx,path_idx,phase_idx,label,occupancy_seed,hole_path_seed,phase_batch_seed,occupancy_hash,path_hash,run_id,config_hash
confirmation,2,3,0,static_only,221003,0,624001,8c79803ac1513d81,4ab12fcdacdfd502,confirmation_occ002_path03_phase00_static_only,90af02170d880284
confirmation,2,3,0,mobile_plus_spin_density,221003,323004,624001,8c79803ac1513d81,e006fb1ef76a0dd3,confirmation_occ002_path03_phase00_mobile_plus_spin_density,90af02170d880284
confirmation,2,3,1,static_only,221003,0,624002,8c79803ac1513d81,4ab12fcdacdfd502,confirmation_occ002_path03_phase01_static_only,90af02170d880284
confirmation,2,3,1,mobile_plus_spin_density,221003,323004,624002,8c79803ac1513d81,e006fb1ef76a0dd3,confirmation_occ002_path03_phase01_mobile_plus_spin_density,90af02170d880284
confirmation,2,3,2,static_only,221003,0,624003,8c79803ac1513d81,4ab12fcdacdfd502,confirmation_occ002_path03_phase02_static_only,90af02170d880284
confirmation,2,3,2,mobile_plus_spin_density,221003,323004,624003,8c79803ac1513d81,e006fb1ef76a0dd3,confirmation_occ002_path03_phase02_mobile_plus_spin_density,90af02170d880284
confirmation,2,3,3,static_only,221003,0,624004,8c79803ac1513d81,4ab12fcdacdfd502,confirmation_occ002_path03_phase03_static_only,90af02170d880284
confirmation,2,3,3,mobile_plus_spin_density,221003,323004,624004,8c79803ac1513d81,e006fb1ef76a0dd3,confirmation_occ002_path03_phase03_mobile_plus_spin_density,90af02170d880284
confirmation,3,0,0,static_only,221004,0,721001,24a8a5d60166062d,119453dbc27fd326,confirmation_occ003_path00_phase00_static_only,90af02170d880284
confirmation,3,0,0,mobile_plus_spin_density,221004,324001,721001,24a8a5d60166062d,2eb8770f830516e5,confirmation_occ003_path00_phase00_mobile_plus_spin_density,90af02170d880284
confirmation,3,0,1,static_only,221004,0,721002,24a8a5d60166062d,119453dbc27fd326,confirmation_occ003_path00_phase01_static_only,90af02170d880284
confirmation,3,0,1,mobile_plus_spin_density,221004,324001,721002,24a8a5d60166062d,2eb8770f830516e5,confirmation_occ003_path00_phase01_mobile_plus_spin_density,90af02170d880284
confirmation,3,0,2,static_only,221004,0,721003,24a8a5d60166062d,119453dbc27fd326,confirmation_occ003_path00_phase02_static_only,90af02170d880284
confirmation,3,0,2,mobile_plus_spin_density,221004,324001,721003,24a8a5d60166062d,2eb8770f830516e5,confirmation_occ003_path00_phase02_mobile_plus_spin_density,90af02170d880284
confirmation,3,0,3,static_only,221004,0,721004,24a8a5d60166062d,119453dbc27fd326,confirmation_occ003_path00_phase03_static_only,90af02170d880284
confirmation,3,0,3,mobile_plus_spin_density,221004,324001,721004,24a8a5d60166062d,2eb8770f830516e5,confirmation_occ003_path00_phase03_mobile_plus_spin_density,90af02170d880284
confirmation,3,1,0,static_only,221004,0,722001,24a8a5d60166062d,119453dbc27fd326,confirmation_occ003_path01_phase00_static_only,90af02170d880284
confirmation,3,1,0,mobile_plus_spin_density,221004,324002,722001,24a8a5d60166062d,a8461adbde582a41,confirmation_occ003_path01_phase00_mobile_plus_spin_density,90af02170d880284
confirmation,3,1,1,static_only,221004,0,722002,24a8a5d60166062d,119453dbc27fd326,confirmation_occ003_path01_phase01_static_only,90af02170d880284
confirmation,3,1,1,mobile_plus_spin_density,221004,324002,722002,24a8a5d60166062d,a8461adbde582a41,confirmation_occ003_path01_phase01_mobile_plus_spin_density,90af02170d880284
confirmation,3,1,2,static_only,221004,0,722003,24a8a5d60166062d,119453dbc27fd326,confirmation_occ003_path01_phase02_static_only,90af02170d880284
confirmation,3,1,2,mobile_plus_spin_density,221004,324002,722003,24a8a5d60166062d,a8461adbde582a41,confirmation_occ003_path01_phase02_mobile_plus_spin_density,90af02170d880284
confirmation,3,1,3,static_only,221004,0,722004,24a8a5d60166062d,119453dbc27fd326,confirmation_occ003_path01_phase03_static_only,90af02170d880284
confirmation,3,1,3,mobile_plus_spin_density,221004,324002,722004,24a8a5d60166062d,a8461adbde582a41,confirmation_occ003_path01_phase03_mobile_plus_spin_density,90af02170d880284
confirmation,3,2,0,static_only,221004,0,723001,24a8a5d60166062d,119453dbc27fd326,confirmation_occ003_path02_phase00_static_only,90af02170d880284
confirmation,3,2,0,mobile_plus_spin_density,221004,324003,723001,24a8a5d60166062d,bc8a232edba4a810,confirmation_occ003_path02_phase00_mobile_plus_spin_density,90af02170d880284
confirmation,3,2,1,static_only,221004,0,723002,24a8a5d60166062d,119453dbc27fd326,confirmation_occ003_path02_phase01_static_only,90af02170d880284
confirmation,3,2,1,mobile_plus_spin_density,221004,324003,723002,24a8a5d60166062d,bc8a232edba4a810,confirmation_occ003_path02_phase01_mobile_plus_spin_density,90af02170d880284
confirmation,3,2,2,static_only,221004,0,723003,24a8a5d60166062d,119453dbc27fd326,confirmation_occ003_path02_phase02_static_only,90af02170d880284
confirmation,3,2,2,mobile_plus_spin_density,221004,324003,723003,24a8a5d60166062d,bc8a232edba4a810,confirmation_occ003_path02_phase02_mobile_plus_spin_density,90af02170d880284
confirmation,3,2,3,static_only,221004,0,723004,24a8a5d60166062d,119453dbc27fd326,confirmation_occ003_path02_phase03_static_only,90af02170d880284
confirmation,3,2,3,mobile_plus_spin_density,221004,324003,723004,24a8a5d60166062d,bc8a232edba4a810,confirmation_occ003_path02_phase03_mobile_plus_spin_density,90af02170d880284
confirmation,3,3,0,static_only,221004,0,724001,24a8a5d60166062d,119453dbc27fd326,confirmation_occ003_path03_phase00_static_only,90af02170d880284
confirmation,3,3,0,mobile_plus_spin_density,221004,324004,724001,24a8a5d60166062d,bb90bf94bdabb357,confirmation_occ003_path03_phase00_mobile_plus_spin_density,90af02170d880284
confirmation,3,3,1,static_only,221004,0,724002,24a8a5d60166062d,119453dbc27fd326,confirmation_occ003_path03_phase01_static_only,90af02170d880284
confirmation,3,3,1,mobile_plus_spin_density,221004,324004,724002,24a8a5d60166062d,bb90bf94bdabb357,confirmation_occ003_path03_phase01_mobile_plus_spin_density,90af02170d880284
