stage,block,shape,N,label,occupancy_idx,path_idx,phase_idx,occupancy_seed,hole_path_seed,phase_batch_seed,occupancy_hash,path_hash,run_id,xi2_db_fixed,xi2_db_min,fixed_time,time_at_min,N_eff_fixed,active_bonds_fixed,runtime_seconds,config_hash
stage5c2d,confirmation,3x3x3,27,static_only,2,0,1,221003,0,621002,8c79803ac1513d81,4ab12fcdacdfd502,confirmation_occ002_path00_phase01_static_only,-3.6712213855454596,-4.853973622666162,0.9227272727272726,1.4,22.0,37.0,0.30550775001756847,90af02170d880284
stage5c2d,confirmation,3x3x3,27,mobile_plus_spin_density,2,0,1,221003,323001,621002,8c79803ac1513d81,8235330cdd5259fb,confirmation_occ002_path00_phase01_mobile_plus_spin_density,-3.3007925481457683,-3.391536983341287,0.9227272727272726,0.9545454545454545,22.0,35.0,0.29987804201664403,90af02170d880284
stage5c2d,confirmation,3x3x3,27,static_only,2,0,2,221003,0,621003,8c79803ac1513d81,4ab12fcdacdfd502,confirmation_occ002_path00_phase02_static_only,-3.5019936141257735,-4.709186221032361,0.9227272727272726,1.4,22.0,37.0,0.30512600002111867,90af02170d880284
stage5c2d,confirmation,3x3x3,27,mobile_plus_spin_density,2,0,2,221003,323001,621003,8c79803ac1513d81,8235330cdd5259fb,confirmation_occ002_path00_phase02_mobile_plus_spin_density,-2.7369237930776054,-2.8232875897556315,0.9227272727272726,0.9545454545454545,22.0,35.0,0.30140058300457895,90af02170d880284
stage5c2d,confirmation,3x3x3,27,static_only,2,0,3,221003,0,621004,8c79803ac1513d81,4ab12fcdacdfd502,confirmation_occ002_path00_phase03_static_only,-3.1391598940884515,-4.475188762928476,0.9227272727272726,1.4,22.0,37.0,0.3063477090327069,90af02170d880284
stage5c2d,confirmation,3x3x3,27,mobile_plus_spin_density,2,0,3,221003,323001,621004,8c79803ac1513d81,8235330cdd5259fb,confirmation_occ002_path00_phase03_mobile_plus_spin_density,-2.8212045063141,-2.9211805401795585,0.9227272727272726,0.9545454545454545,22.0,35.0,0.30108512501465157,90af02170d880284
stage5c2d,confirmation,3x3x3,27,static_only,2,1,0,221003,0,622001,8c79803ac1513d81,4ab12fcdacdfd502,confirmation_occ002_path01_phase00_static_only,-3.382717392155948,-4.6834288351183515,0.9227272727272726,1.4,22.0,37.0,0.3054732919554226,90af02170d880284
stage5c2d,confirmation,3x3x3,27,mobile_plus_spin_density,2,1,0,221003,323002,622001,8c79803ac1513d81,f0c41f0711e39685,confirmation_occ002_path01_phase00_mobile_plus_spin_density,-3.3178551073479747,-3.598247214992259,0.9227272727272726,1.018181818181818,22.0,37.0,0.305211708007846,90af02170d880284
stage5c2d,confirmation,3x3x3,27,static_only,2,1,1,221003,0,622002,8c79803ac1513d81,4ab12fcdacdfd502,confirmation_occ002_path01_phase01_static_only,-3.5672562610762286,-4.8924911507009075,0.9227272727272726,1.4,22.0,37.0,0.3050682499888353,90af02170d880284
stage5c2d,confirmation,3x3x3,27,mobile_plus_spin_density,2,1,1,221003,323002,622002,8c79803ac1513d81,f0c41f0711e39685,confirmation_occ002_path01_phase01_mobile_plus_spin_density,-3.2983596726350877,-3.7267207046862785,0.9227272727272726,1.3045454545454545,22.0,37.0,0.30513774999417365,90af02170d880284
